Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
353270;3532702;Nipoã;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;4969;Até 5 mil;-20,89;-49,78
353280;3532801;Nova Aliança;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;6450;Mais de 5 mil até 10 mil;-21,06;-49,52
353282;3532827;Nova Campina;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;9675;Mais de 5 mil até 10 mil;-24,19;-48,97
353284;3532843;Nova Canaã Paulista;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;1937;Até 5 mil;-20,37;-50,91
353286;3532868;Nova Castilho;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;1176;Até 5 mil;-20,78;-50,35
353290;3532900;Nova Europa;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;10749;Mais de 10 mil até 20 mil;-21,77;-48,55
353300;3533007;Nova Granada;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;20918;Mais de 20 mil até 50 mil;-20,48;-49,33
353310;3533106;Nova Guataporanga;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;2191;Até 5 mil;-21,32;-51,65
353320;3533205;Nova Independência;690;Região Administrativa de Araçatuba;Região de Governo de Andradina;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;3731;Até 5 mil;-21,14;-51,51
353330;3533304;Nova Luzitânia;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;4044;Até 5 mil;-20,87;-50,25
353340;3533403;Nova Odessa;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;58039;Mais de 50 mil até 100 mil;-22,78;-47,28
353325;3533254;Novais;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;5509;Mais de 5 mil até 10 mil;-20,99;-48,92
353350;3533502;Novo Horizonte;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;38954;Mais de 20 mil até 50 mil;-21,47;-49,28
