Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
354920;3549201;São João das Duas Pontes;689;Região Administrativa de São José do Rio Preto;Região de Governo de Fernandópolis;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;2476;Até 5 mil;-20,41;-50,38
354925;3549250;São João de Iracema;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;1850;Até 5 mil;-20,52;-50,36
354930;3549300;São João do Pau d'Alho;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;1985;Até 5 mil;-21,22;-51,67
354940;3549409;São Joaquim da Barra;695;Região Administrativa de Franca;Região de Governo de São Joaquim da Barra;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;50274;Mais de 50 mil até 100 mil;-20,55;-47,94
354950;3549508;São José da Bela Vista;695;Região Administrativa de Franca;Região de Governo de Franca;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;8727;Mais de 5 mil até 10 mil;-20,59;-47,63
354960;3549607;São José do Barreiro;684;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;4070;Até 5 mil;-22,75;-44,59
354970;3549706;São José do Rio Pardo;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;04 - Pardo;53206;Mais de 50 mil até 100 mil;-21,60;-46,88
354980;3549805;São José do Rio Preto;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;447924;Mais de 200 mil até 500 mil;-20,80;-49,36
354990;3549904;São José dos Campos;684;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;710654;Mais de 500 mil até 1 milhão;-23,09;-45,93
354995;3549953;São Lourenço da Serra;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudoeste;RMSP;11 - Ribeira de Iguape/Litoral Sul;15579;Mais de 10 mil até 20 mil;-23,85;-46,94
355000;3550001;São Luiz do Paraitinga;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;10569;Mais de 10 mil até 20 mil;-23,24;-45,25
355010;3550100;São Manuel;685;Região Administrativa de Sorocaba;Região de Governo de Botucatu;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;39574;Mais de 20 mil até 50 mil;-22,68;-48,54
355020;3550209;São Miguel Arcanjo;685;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;Demais municípios;RMS;14 - Alto Paranapanema;32000;Mais de 20 mil até 50 mil;-23,91;-47,99
355030;3550308;São Paulo;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Municipio SP;RMSP;06 - Alto Tietê;11869660;Mais de 1 milhão;-23,55;-46,64
355040;3550407;São Pedro;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;34208;Mais de 20 mil até 50 mil;-22,56;-47,92
355050;3550506;São Pedro do Turvo;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;7369;Mais de 5 mil até 10 mil;-22,68;-49,77
355060;3550605;São Roque;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;87435;Mais de 50 mil até 100 mil;-23,55;-47,11
355070;3550704;São Sebastião;684;Região Administrativa de São José dos Campos;Região de Governo de Caraguatatuba;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;03 - Litoral Norte;87135;Mais de 50 mil até 100 mil;-23,75;-45,61
355080;3550803;São Sebastião da Grama;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;04 - Pardo;11936;Mais de 10 mil até 20 mil;-21,75;-46,75
355090;3550902;São Simão;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;14847;Mais de 10 mil até 20 mil;-21,46;-47,57
355100;3551009;São Vicente;683;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;Demais municípios;RMBS;07 - Baixada Santista;357929;Mais de 200 mil até 500 mil;-23,96;-46,49
355110;3551108;Sarapuí;685;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;10110;Mais de 10 mil até 20 mil;-23,66;-47,79
355120;3551207;Sarutaiá;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;3646;Até 5 mil;-23,26;-49,48
355130;3551306;Sebastianópolis do Sul;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;3293;Até 5 mil;-20,63;-49,92
355140;3551405;Serra Azul;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;12282;Mais de 10 mil até 20 mil;-21,32;-47,55
355160;3551603;Serra Negra;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;27440;Mais de 20 mil até 50 mil;-22,59;-46,69
355150;3551504;Serrana;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;44434;Mais de 20 mil até 50 mil;-21,22;-47,61
355170;3551702;Sertãozinho;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;09 - Mogi-Guaçu;122355;Mais de 100 mil até 200 mil;-21,12;-48,01
355180;3551801;Sete Barras;682;Região Administrativa de Registro;Região de Governo de Registro;Demais municípios;Demais municípios;Demais municípios;11 - Ribeira de Iguape/Litoral Sul;12628;Mais de 10 mil até 20 mil;-24,27;-47,93
355190;3551900;Severínia;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;17126;Mais de 10 mil até 20 mil;-20,79;-48,79
355200;3552007;Silveiras;684;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;6204;Mais de 5 mil até 10 mil;-22,73;-44,84
355210;3552106;Socorro;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;38783;Mais de 20 mil até 50 mil;-22,61;-46,52
355220;3552205;Sorocaba;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;658547;Mais de 500 mil até 1 milhão;-23,46;-47,45
355230;3552304;Sud Mennucci;690;Região Administrativa de Araçatuba;Região de Governo de Andradina;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;7713;Mais de 5 mil até 10 mil;-20,67;-50,90
355240;3552403;Sumaré;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;283212;Mais de 200 mil até 500 mil;-22,84;-47,26
355255;3552551;Suzanápolis;690;Região Administrativa de Araçatuba;Região de Governo de Andradina;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;3947;Até 5 mil;-20,47;-51,08
355250;3552502;Suzano;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Leste;RMSP;06 - Alto Tietê;291002;Mais de 200 mil até 500 mil;-23,61;-46,31
355260;3552601;Tabapuã;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;11892;Mais de 10 mil até 20 mil;-20,93;-49,03
355270;3552700;Tabatinga;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;15897;Mais de 10 mil até 20 mil;-21,71;-48,63
355280;3552809;Taboão da Serra;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudoeste;RMSP;06 - Alto Tietê;283871;Mais de 200 mil até 500 mil;-23,62;-46,79
355290;3552908;Taciba;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;6054;Mais de 5 mil até 10 mil;-22,50;-51,34
355300;3553005;Taguaí;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;13319;Mais de 10 mil até 20 mil;-23,47;-49,40
355310;3553104;Taiaçu;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;6037;Mais de 5 mil até 10 mil;-21,13;-48,53
355320;3553203;Taiúva;694;Região Administrativa de Barretos;Região de Governo de Barretos;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;15 - Turvo/Grande;6278;Mais de 5 mil até 10 mil;-21,13;-48,43
355330;3553302;Tambaú;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;22803;Mais de 20 mil até 50 mil;-21,60;-47,24
355340;3553401;Tanabi;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;25105;Mais de 20 mil até 50 mil;-20,53;-49,65
355350;3553500;Tapiraí;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;11 - Ribeira de Iguape/Litoral Sul;7699;Mais de 5 mil até 10 mil;-24,01;-47,62
355360;3553609;Tapiratiba;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;04 - Pardo;12610;Mais de 10 mil até 20 mil;-21,45;-46,74
355365;3553658;Taquaral;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;09 - Mogi-Guaçu;2751;Até 5 mil;-21,07;-48,40
355370;3553708;Taquaritinga;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;54499;Mais de 50 mil até 100 mil;-21,43;-48,54
355380;3553807;Taquarituba;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;23193;Mais de 20 mil até 50 mil;-23,53;-49,23
355385;3553856;Taquarivaí;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;5746;Mais de 5 mil até 10 mil;-23,94;-48,69
355390;3553906;Tarabai;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;7269;Mais de 5 mil até 10 mil;-22,36;-51,63
355395;3553955;Tarumã;692;Região Administrativa de Marília;Região de Governo de Assis;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;14806;Mais de 10 mil até 20 mil;-22,76;-50,60
355400;3554003;Tatuí;685;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;120123;Mais de 100 mil até 200 mil;-23,36;-47,87
355410;3554102;Taubaté;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;307361;Mais de 200 mil até 500 mil;-23,09;-45,50
355420;3554201;Tejupá;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;4697;Até 5 mil;-23,34;-49,31
355430;3554300;Teodoro Sampaio;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;22414;Mais de 20 mil até 50 mil;-22,42;-52,37
355440;3554409;Terra Roxa;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;12 - Baixo Pardo/Grande;9121;Mais de 5 mil até 10 mil;-20,78;-48,35
355450;3554508;Tietê;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;41073;Mais de 20 mil até 50 mil;-23,05;-47,71
355460;3554607;Timburi;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;2557;Até 5 mil;-23,20;-49,61
355465;3554656;Torre de Pedra;685;Região Administrativa de Sorocaba;Região de Governo de Botucatu;Demais municípios;Demais municípios;Demais municípios;10 - Tietê/Sorocaba;2320;Até 5 mil;-23,25;-48,21
355470;3554706;Torrinha;686;Região Administrativa de Campinas;Região de Governo de Rio Claro;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;9713;Mais de 5 mil até 10 mil;-22,44;-48,16
355475;3554755;Trabiju;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;1703;Até 5 mil;-22,03;-48,35
355480;3554805;Tremembé;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;45978;Mais de 20 mil até 50 mil;-22,94;-45,60
355490;3554904;Três Fronteiras;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;5547;Mais de 5 mil até 10 mil;-20,27;-50,87
355495;3554953;Tuiuti;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;MRBRAGANTINA;05 - Piracicaba/Capivari/Jundiaí;6557;Mais de 5 mil até 10 mil;-22,83;-46,69
355500;3555000;Tupã;692;Região Administrativa de Marília;Região de Governo de Tupã;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;62843;Mais de 50 mil até 100 mil;-21,95;-50,53
355510;3555109;Tupi Paulista;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;14878;Mais de 10 mil até 20 mil;-21,39;-51,59
355520;3555208;Turiúba;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;1912;Até 5 mil;-20,94;-50,11
355530;3555307;Turmalina;689;Região Administrativa de São José do Rio Preto;Região de Governo de Fernandópolis;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;1805;Até 5 mil;-20,08;-50,46
355535;3555356;Ubarana;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;6066;Mais de 5 mil até 10 mil;-21,22;-49,75
355540;3555406;Ubatuba;684;Região Administrativa de São José dos Campos;Região de Governo de Caraguatatuba;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;03 - Litoral Norte;88916;Mais de 50 mil até 100 mil;-23,38;-45,02
355550;3555505;Ubirajara;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;4663;Até 5 mil;-22,54;-49,67
355560;3555604;Uchoa;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;9683;Mais de 5 mil até 10 mil;-20,94;-49,16
355570;3555703;União Paulista;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;1739;Até 5 mil;-20,89;-49,89
355580;3555802;Urânia;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;8611;Mais de 5 mil até 10 mil;-20,21;-50,65
355590;3555901;Uru;688;Região Administrativa de Bauru;Região de Governo de Lins;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;1207;Até 5 mil;-21,77;-49,30
355600;3556008;Urupês;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;13164;Mais de 10 mil até 20 mil;-21,20;-49,26
355610;3556107;Valentim Gentil;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;12770;Mais de 10 mil até 20 mil;-20,42;-50,10
355620;3556206;Valinhos;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;124742;Mais de 100 mil até 200 mil;-22,98;-46,98
355630;3556305;Valparaíso;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;23988;Mais de 20 mil até 50 mil;-21,20;-50,92
355635;3556354;Vargem;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;MRBRAGANTINA;05 - Piracicaba/Capivari/Jundiaí;10000;Mais de 5 mil até 10 mil;-22,89;-46,41
355640;3556404;Vargem Grande do Sul;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;04 - Pardo;41501;Mais de 20 mil até 50 mil;-21,86;-46,90
355645;3556453;Vargem Grande Paulista;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudoeste;RMSP;10 - Tietê/Sorocaba;52762;Mais de 50 mil até 100 mil;-23,62;-47,01
355650;3556503;Várzea Paulista;686;Região Administrativa de Campinas;Região de Governo de Jundiaí;Demais municípios;Demais municípios;AUJUNDIAÍ;05 - Piracicaba/Capivari/Jundiaí;120535;Mais de 100 mil até 200 mil;-23,22;-46,82
355660;3556602;Vera Cruz;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;10524;Mais de 10 mil até 20 mil;-22,23;-49,83
355670;3556701;Vinhedo;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;77521;Mais de 50 mil até 100 mil;-23,05;-46,98
355680;3556800;Viradouro;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;12 - Baixo Pardo/Grande;18347;Mais de 10 mil até 20 mil;-20,88;-48,31
355690;3556909;Vista Alegre do Alto;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;8014;Mais de 5 mil até 10 mil;-21,18;-48,65
355695;3556958;Vitória Brasil;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;1760;Até 5 mil;-20,20;-50,49
355700;3557006;Votorantim;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;119824;Mais de 100 mil até 200 mil;-23,58;-47,41
355710;3557105;Votuporanga;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;91760;Mais de 50 mil até 100 mil;-20,46;-49,99
355715;3557154;Zacarias;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;2560;Até 5 mil;-21,13;-50,05
